0	1.962345489	0.037654511	0	0
7	1.12533346	0.06539187	0.029504521	0.029989099
15	0.950783343	0.10668424	0.054377121	0.039990837
30	0.567920893	0.12876967	0.045276126	0.056891701
60	0.609713243	0.103791937	0.050113905	0.07495878
100	0.384420793	0.044819439	0.055547925	0.075549953
150	0.350927532	0.061347957	0.054664434	0.101253427
225	0.353190764	0.052796781	0.040218444	0.102997009
300	0.24600994	0.043546229	0.046299178	0.103464844
420	0.199762216	0.03214498	0.04676035	0.094863845
600	0.210115133	0.024469852	0.036971635	0.066726358
